date,emissions_intensity
2001-03-31,0.8695527359604951
2001-06-30,0.862549647629047
2001-09-30,0.8368718830634202
2001-12-31,0.9108103414184958
2002-03-31,0.864405377522312
2002-06-30,0.8107276363521572
2002-09-30,0.8213533209666151
2002-12-31,0.9282683460328806
2003-03-31,0.8840495280329483
2003-06-30,0.8261750765190785
2003-09-30,0.7973301836745065
2003-12-31,0.8533722873724674
2004-03-31,0.8314253384052224
2004-06-30,0.7566915930050814
2004-09-30,0.7976967474839997
2004-12-31,0.85751697454904
2005-03-31,0.8178363309181083
2005-06-30,0.7667041372133009
2005-09-30,0.7630096171125731
2005-12-31,0.8178745206748618
2006-03-31,0.7988109613191003
2006-06-30,0.7464065842015399
2006-09-30,0.7760502160132403
2006-12-31,0.8109343166655218
2007-03-31,0.7746423717969783
2007-06-30,0.7284220721677612
2007-09-30,0.7207346041006637
2007-12-31,0.7699022204935921
2008-03-31,0.7426681173417458
2008-06-30,0.7148135719560872
2008-09-30,0.7388979437848678
2008-12-31,0.7363797327006598
2009-03-31,0.7263573676274268
2009-06-30,0.7092513917739046
2009-09-30,0.7319320849426685
2009-12-31,0.7366147816242531
2010-03-31,0.7379875870971624
2010-06-30,0.6926485191465785
2010-09-30,0.7149630250053752
2010-12-31,0.7403912217580442
2011-03-31,0.752035059151777
2011-06-30,0.7012699337299154
2011-09-30,0.7093702905829998
2011-12-31,0.7295692483969657
2012-03-31,0.6740014514252582
2012-06-30,0.6343735681191244
2012-09-30,0.6856478030335287
2012-12-31,0.6810007617976033
2013-03-31,0.6625959094171898
2013-06-30,0.6149175388054127
2013-09-30,0.6840630697564286
2013-12-31,0.6722636099713752
2014-03-31,0.663659790691821
2014-06-30,0.6371863347461217
2014-09-30,0.683707164680811
2014-12-31,0.6359376079385578
2015-03-31,0.6058606769737993
2015-06-30,0.565741228064578
2015-09-30,0.610941807515152
2015-12-31,0.53201220782411
2016-03-31,0.46717130537492424
2016-06-30,0.45634830187489145
2016-09-30,0.5613081337210338
2016-12-31,0.5341236513712657
2017-03-31,0.4549064650720584
2017-06-30,0.43192103968743767
2017-09-30,0.5494848992006243
2017-12-31,0.4328858697629403
2018-03-31,0.4083617180710728
2018-06-30,0.40556020469714366
2018-09-30,0.5023321072170519
2018-12-31,0.4229396027458171
2019-03-31,0.3839674606308059
2019-06-30,0.35147940484100587
2019-09-30,0.4233836585602156
2019-12-31,0.3128968470496958
2020-03-31,0.30170503368152163
2020-06-30,0.32490826006124524
2020-09-30,0.45566151864146964
2020-12-31,0.3211679021544646
2021-03-31,0.3480796489854321
2021-06-30,0.3290858384245912
2021-09-30,0.4458729377704623
2021-12-31,0.33517532344950396
2022-03-31,0.2977854466038709
2022-06-30,0.2891764202534167
2022-09-30,0.375686220766591
2022-12-31,0.2636281245082846
2023-03-31,0.27095837631494435
2023-06-30,0.25766142826105015
2023-09-30,0.33792691539545644
2023-12-31,0.2127921865115071
2024-03-31,0.19810352118809135
2024-06-30,0.20570152230571268
2024-09-30,0.3195486249106295
2024-12-31,0.20136202143275184
