date,emissions_intensity
2001-03-31,0.9155597852669849
2001-06-30,0.9326702059256816
2001-09-30,0.9265810693878104
2001-12-31,0.9309718220288163
2002-03-31,0.9451604056327199
2002-06-30,0.9129006159640362
2002-09-30,0.914627711941962
2002-12-31,0.9437140553913694
2003-03-31,0.9130038989615263
2003-06-30,0.9179540409674737
2003-09-30,0.8902466750354326
2003-12-31,0.9159047441216192
2004-03-31,0.9158421120048006
2004-06-30,0.899988638636532
2004-09-30,0.8677920004631114
2004-12-31,0.8724468435575371
2005-03-31,0.8642857886779017
2005-06-30,0.8673455174229588
2005-09-30,0.8537295726712574
2005-12-31,0.8729723542537745
2006-03-31,0.8610124900356152
2006-06-30,0.8704396925312957
2006-09-30,0.8597332234787456
2006-12-31,0.8698155530266278
2007-03-31,0.8610512935370689
2007-06-30,0.8556725427966767
2007-09-30,0.8200419288047343
2007-12-31,0.823153318341795
2008-03-31,0.8052637301133214
2008-06-30,0.8070336034435933
2008-09-30,0.8199973203855333
2008-12-31,0.8019123422604474
2009-03-31,0.7731779965250539
2009-06-30,0.7752837835399176
2009-09-30,0.8218241269241471
2009-12-31,0.8306156622463479
2010-03-31,0.8091870897615611
2010-06-30,0.8091200046674907
2010-09-30,0.8334483403258672
2010-12-31,0.8436657197609342
2011-03-31,0.7996901023281775
2011-06-30,0.7432461849319573
2011-09-30,0.832253006068528
2011-12-31,0.7857380897605035
2012-03-31,0.7750403028709163
2012-06-30,0.761769100205201
2012-09-30,0.7890679124578001
2012-12-31,0.8019511269435885
2013-03-31,0.7461636140927491
2013-06-30,0.7698785229200168
2013-09-30,0.7801905022177696
2013-12-31,0.7708368540586736
2014-03-31,0.7357306242798218
2014-06-30,0.7095713490902122
2014-09-30,0.7814223841810868
2014-12-31,0.7258227956986661
2015-03-31,0.7439594024761199
2015-06-30,0.7474118381718785
2015-09-30,0.7603382921187111
2015-12-31,0.7002178612088096
2016-03-31,0.6578384095418942
2016-06-30,0.671225880844052
2016-09-30,0.7128745632486827
2016-12-31,0.7058358181305772
2017-03-31,0.6946868950137373
2017-06-30,0.6709651121080026
2017-09-30,0.7124502505325635
2017-12-31,0.6681342923987461
2018-03-31,0.6426508093726162
2018-06-30,0.6142246352645832
2018-09-30,0.6781579142128861
2018-12-31,0.6749100169196747
2019-03-31,0.6556899206406972
2019-06-30,0.5947285983023648
2019-09-30,0.6229164916999108
2019-12-31,0.643502311613518
2020-03-31,0.5915223173386129
2020-06-30,0.5444384449019187
2020-09-30,0.5827203415600698
2020-12-31,0.5536467386735894
2021-03-31,0.5925304762469955
2021-06-30,0.5429598912936262
2021-09-30,0.5982079969686307
2021-12-31,0.5559161426557968
2022-03-31,0.5526349312813913
2022-06-30,0.5280031014577079
2022-09-30,0.5754078205923758
2022-12-31,0.5499731625450689
2023-03-31,0.5402478829829219
2023-06-30,0.5065775642146236
2023-09-30,0.553393634428136
2023-12-31,0.5238613196506232
2024-03-31,0.4943484704195217
2024-06-30,0.47235555546511054
2024-09-30,0.5151244364569353
2024-12-31,0.4844918395906262
