date,emissions_intensity
2001-03-31,0.4011546341630421
2001-06-30,0.46825136894913416
2001-09-30,0.4630548186812379
2001-12-31,0.49257662235867195
2002-03-31,0.4554044282742896
2002-06-30,0.4643567787164036
2002-09-30,0.4853461403499452
2002-12-31,0.5001771233799448
2003-03-31,0.42455700875096175
2003-06-30,0.47414821120546724
2003-09-30,0.4695938795523923
2003-12-31,0.4399091388052356
2004-03-31,0.39968028338065414
2004-06-30,0.44709334827463093
2004-09-30,0.46281414066099147
2004-12-31,0.4479090506903371
2005-03-31,0.4452031497356344
2005-06-30,0.49998511069254986
2005-09-30,0.47101494705463665
2005-12-31,0.4345372677909301
2006-03-31,0.5028226587758649
2006-06-30,0.47947945114808177
2006-09-30,0.5046697020696135
2006-12-31,0.4938195369532251
2007-03-31,0.48651145069207774
2007-06-30,0.5387474371424461
2007-09-30,0.5233627609246335
2007-12-31,0.5057036340711137
2008-03-31,0.4876547304339695
2008-06-30,0.49160343766346626
2008-09-30,0.5046864737193923
2008-12-31,0.5079244838248217
2009-03-31,0.4942377088136229
2009-06-30,0.5239926231249001
2009-09-30,0.4983529047931668
2009-12-31,0.4891417773724063
2010-03-31,0.511678052493084
2010-06-30,0.48176691133586147
2010-09-30,0.5035019430021072
2010-12-31,0.46228757654350366
2011-03-31,0.48943154416729284
2011-06-30,0.4525943390679501
2011-09-30,0.44786566740831213
2011-12-31,0.3996095185092972
2012-03-31,0.4025776271287781
2012-06-30,0.38550129764334073
2012-09-30,0.45104678919657776
2012-12-31,0.4047069940208102
2013-03-31,0.48894777680066925
2013-06-30,0.4417196130343795
2013-09-30,0.45165323866358736
2013-12-31,0.4326173930501935
2014-03-31,0.43915589881871053
2014-06-30,0.37589805151113276
2014-09-30,0.39804762130654
2014-12-31,0.3791513400537298
2015-03-31,0.44104501360091686
2015-06-30,0.3946595337247825
2015-09-30,0.42186891772617496
2015-12-31,0.3924307849421715
2016-03-31,0.40659120912283847
2016-06-30,0.3898593870112436
2016-09-30,0.43576555514067905
2016-12-31,0.3713941726776013
2017-03-31,0.44238339594115134
2017-06-30,0.40086999495289266
2017-09-30,0.3857534768134011
2017-12-31,0.3497625493615558
2018-03-31,0.35510856986750017
2018-06-30,0.33799536705723476
2018-09-30,0.4017127637081788
2018-12-31,0.340171228794772
2019-03-31,0.34240730937085706
2019-06-30,0.343353202313082
2019-09-30,0.45800468277719913
2019-12-31,0.43970956586137777
2020-03-31,0.428991781351479
2020-06-30,0.3910339060461815
2020-09-30,0.4584035830041112
2020-12-31,0.4423416380947179
2021-03-31,0.4413708192059668
2021-06-30,0.418595855522286
2021-09-30,0.43383477868793596
2021-12-31,0.4250860732901533
2022-03-31,0.3466609327364737
2022-06-30,0.34665762480102225
2022-09-30,0.40431156742700763
2022-12-31,0.3326784357753523
2023-03-31,0.33233673628845833
2023-06-30,0.328983570445616
2023-09-30,0.3976334139268556
2023-12-31,0.3083524866418027
2024-03-31,0.26379563252248045
2024-06-30,0.26010385043505
2024-09-30,0.36858152504894864
2024-12-31,0.2711748380551729
