date,emissions_intensity
2001-03-31,0.6538011840572507
2001-06-30,0.6591914495387065
2001-09-30,0.6631096322508572
2001-12-31,0.6304887059580649
2002-03-31,0.5706120999424501
2002-06-30,0.6360541355120332
2002-09-30,0.6779738929712097
2002-12-31,0.6472228117181666
2003-03-31,0.6040613714611724
2003-06-30,0.6062677580144201
2003-09-30,0.6325800152378722
2003-12-31,0.6193189868837664
2004-03-31,0.5889291406726309
2004-06-30,0.6307234265432554
2004-09-30,0.6221318974847202
2004-12-31,0.6095604925026447
2005-03-31,0.61064194083452
2005-06-30,0.6211555159342252
2005-09-30,0.6400623333004154
2005-12-31,0.66598069878344
2006-03-31,0.6244254428240752
2006-06-30,0.64734941342965
2006-09-30,0.6447881039457
2006-12-31,0.6410978441372246
2007-03-31,0.652170185988025
2007-06-30,0.6753187011993517
2007-09-30,0.6241628271727477
2007-12-31,0.6314232899495924
2008-03-31,0.5814205609722107
2008-06-30,0.6211456730188595
2008-09-30,0.6065418073626224
2008-12-31,0.5867923741502555
2009-03-31,0.5302463765827572
2009-06-30,0.5175955604225562
2009-09-30,0.5335301460291435
2009-12-31,0.46188882079051885
2010-03-31,0.5258444016644974
2010-06-30,0.5674109674531747
2010-09-30,0.5848374351643636
2010-12-31,0.5318833104772412
2011-03-31,0.521784816658856
2011-06-30,0.5522411535166766
2011-09-30,0.5450444301719509
2011-12-31,0.47434972194527747
2012-03-31,0.410988671127157
2012-06-30,0.5138760158567842
2012-09-30,0.5277567937609019
2012-12-31,0.4997688260750646
2013-03-31,0.45195443443987987
2013-06-30,0.4915967774859589
2013-09-30,0.49793743121689127
2013-12-31,0.4753880721753441
2014-03-31,0.4861207759961015
2014-06-30,0.4859704936092876
2014-09-30,0.5213179492948522
2014-12-31,0.4567572575645653
2015-03-31,0.429186694340501
2015-06-30,0.4826774695317526
2015-09-30,0.5043832512741991
2015-12-31,0.41763788010435154
2016-03-31,0.3986300209872795
2016-06-30,0.43359756347633527
2016-09-30,0.48127537025992007
2016-12-31,0.45836062508749276
2017-03-31,0.41413824775982533
2017-06-30,0.40341924689029124
2017-09-30,0.43750311031705474
2017-12-31,0.4083926311149566
2018-03-31,0.43098043693211674
2018-06-30,0.42312673168295795
2018-09-30,0.4443291737845101
2018-12-31,0.3970615761189895
2019-03-31,0.3941763092032293
2019-06-30,0.37246259866595277
2019-09-30,0.4166134010913285
2019-12-31,0.38742210228474294
2020-03-31,0.3442614426723522
2020-06-30,0.3278241263970111
2020-09-30,0.3997832331816206
2020-12-31,0.37467969470056756
2021-03-31,0.37994684892586505
2021-06-30,0.3638769918600549
2021-09-30,0.4026397138661827
2021-12-31,0.3641405520341292
2022-03-31,0.3326405803301798
2022-06-30,0.347978870003503
2022-09-30,0.3943065051580096
2022-12-31,0.3230596757594407
2023-03-31,0.31958013255340434
2023-06-30,0.3419412239486027
2023-09-30,0.37925341395321627
2023-12-31,0.30467968496908915
2024-03-31,0.26219238095772235
2024-06-30,0.289737047777701
2024-09-30,0.34250515576048174
2024-12-31,0.29147141954847633
