date,coal,natural_gas,nuclear,hydro,wind,solar_all,other,all_sources
2001-03-31,29432.039921999996,580.324284,0.0,2.932566,0.0,0.0,0.924668,30016.221439999994
2001-06-30,27542.038733999998,588.1539975,0.0,3.059091,0.0,0.0,0.903743,28134.155565499997
2001-09-30,32427.954253999997,907.0060735,0.0,3.0143189999999995,0.0,0.0,1.2438129999999998,33339.2184595
2001-12-31,28930.715633999996,534.5521385,0.0,2.9785560000000006,0.0,0.0,0.9738340000000001,29469.220162499994
2002-03-31,27657.043945999998,535.4831075,0.0,1.6615199999999999,0.0,0.0,0.8807719999999999,28195.0693455
2002-06-30,26697.465777999998,596.3188819999999,0.0,2.320206,0.0,0.0,0.96844,27297.073306
2002-09-30,32815.425429999996,1034.2387175,0.0,2.1830760000000002,0.0,0.0,1.261452,33853.10867549999
2002-12-31,29232.529849999995,456.9198975,0.0,2.4718679999999997,0.0,0.0,0.968564,29692.890179499995
2003-03-31,30269.073612,399.1792565,0.0,1.451184,0.0,0.0,3.7517129999999996,30673.455765500003
2003-06-30,28368.858234,430.517341,0.0,2.251074,0.0,0.0,4.638560999999999,28806.265209999998
2003-09-30,31868.287337999995,678.8676604999999,0.0,2.913897,0.0,0.0,5.996733,32556.065628499993
2003-12-31,28386.962113999998,490.30883250000005,0.0,2.2868579999999996,0.0,0.0,4.554117,28884.111921499996
2004-03-31,30007.3963595,666.37231041,0.0,1.1482629899999999,0.0,0.0,3.63342506,30678.550357959997
2004-06-30,29105.034983679998,473.9784059599999,0.0,2.1391912499999997,0.0,0.0,5.48405779,29586.636638679996
2004-09-30,31754.88187528,455.13661725500003,0.0,3.34030809,0.0,0.0,6.20222704,32219.561027665
2004-12-31,30954.51946194,248.0092289,0.0,2.69037867,0.0,0.0,5.0145339600000005,31210.233603469995
2005-03-31,30892.52260796,383.19926532499994,0.0,1.5929058600000001,0.0,0.0,3.2278405900000005,31280.542619735003
2005-06-30,29044.36712654,833.3481134049999,0.0,2.67537816,0.0,0.0,4.30152156,29884.692139665
2005-09-30,33889.76537278,1049.671007325,0.0,2.35491396,0.0,0.0,4.540257830000001,34946.331551895
2005-12-31,30654.1501883,364.98013006,0.0,2.5807242300000004,0.0,0.0,3.49659881,31025.2076414
2006-03-31,30788.669208339998,321.86763783500004,0.0,2.13546459,0.0,0.0,3.84104074,31116.513351504997
2006-06-30,30084.242039560002,460.77828591499997,0.0,2.7803118,0.0,0.0,5.38541517,30553.186052445002
2006-09-30,33212.71236924,865.572243295,0.0,3.13264035,0.0,0.0,5.86224105,34087.279493935
2006-12-31,30857.967136339994,419.40858321499996,0.0,2.23139805,0.0,0.0,5.22214995,31284.829267554996
2007-03-31,32281.39389538,471.75729023499997,0.0,1.59791898,0.0,0.0,4.030406719999999,32758.779511315
2007-06-30,29439.14212962,549.1031832,0.0,2.62950849,0.0,0.0,5.25332076,29996.12814207
2007-09-30,32827.91411992,1103.538071435,0.0,2.7004685399999997,0.0,0.0,5.16879213,33939.32145202501
2007-12-31,29819.6337409,634.039007135,0.0,2.5207602,0.0,0.0,4.518184590000001,30460.711692825003
2008-03-31,31289.726792179998,795.71653783,0.0,1.5096051599999998,0.0,0.0,3.9549629499999996,32090.90789812
2008-06-30,29832.96386044,593.763759605,0.0,2.46405453,0.6815823299999999,0.0,5.46089087,30435.334147774996
2008-09-30,33402.82129464,939.31223362,0.0,2.60751099,0.6314922900000001,0.0,5.5966377000000005,34350.96916924
2008-12-31,30525.448395639996,676.59708726,0.0,2.59120953,1.78554766,0.0,4.4778687800000005,31210.90010887
