date,coal,natural_gas,nuclear,hydro,wind,solar_all,other,all_sources
2001-03-31,437.436536,0.0,0.0,0.470505,0.004940000000000001,0.0,4.222076,442.134057
2001-06-30,391.87376199999994,0.0,0.0,0.54831,0.0066040000000000005,0.0,5.917807,398.3464829999999
2001-09-30,426.870564,0.0,0.0,0.538629,0.008450000000000001,0.0,5.3673399999999996,432.784983
2001-12-31,419.540014,0.0,0.0,0.558306,0.007592,0.0,5.069895,425.17580699999996
2002-03-31,402.144858,0.0,0.0,0.5916959999999999,0.004862,0.0,4.129107,406.870523
2002-06-30,438.221942,0.0,0.0,0.4676489999999999,0.0041600000000000005,0.0,3.683265,442.377016
2002-09-30,419.24471800000003,0.0,0.0,0.57288,0.006708,0.0,4.902215999999999,424.72652200000005
2002-12-31,370.85875,0.0,0.0,0.36418199999999995,0.005291,0.0,3.1817780000000004,374.410001
2003-03-31,438.21163999999993,0.0,0.0,0.40727399999999997,0.003133,0.0,3.648049,442.2700959999999
2003-06-30,430.49799999999993,0.0,0.0,0.51975,0.005564,0.0,6.020603,437.0439169999999
2003-09-30,424.77003200000007,0.0,0.0,0.47239500000000006,0.006812,0.0,6.05337,431.3026090000001
2003-12-31,444.13996199999997,0.0,0.0,0.501186,0.004953,0.0,5.895921,450.542022
2004-03-31,431.01712964,0.0,0.0,0.53705673,0.01612988,0.0,4.90803036,436.47834661
2004-06-30,430.25036453999996,0.0,0.0,0.81062268,0.03022721,0.0,5.70803589,436.79925032
2004-09-30,439.83421047999997,0.0,0.0,0.15835449,0.03232541,0.0,5.90310122,445.9279916
2004-12-31,447.56998558,0.0,0.0,0.46588248,0.0187525,0.0,5.57301632,453.62763688
2005-03-31,390.24569784000005,0.0,0.0,0.26191746,0.017353439999999998,0.0,5.67163879,396.19660753000005
2005-06-30,403.12620438,0.0,0.0,0.6723937499999999,0.027756690000000004,0.0,4.7896457,408.61600052
2005-09-30,403.88643446,0.0,0.0,0.64450659,0.022947079999999998,0.0,5.354297679999999,409.90818580999996
2005-12-31,411.58157217999997,0.0,0.0,0.44112893999999997,0.018158920000000002,0.0,5.27502417,417.31588421
2006-03-31,338.94508772,0.0,0.0,0.73857567,0.00811096,0.0,5.830256179999999,345.52203053
2006-06-30,389.77963338,0.0,0.0,0.7283753399999999,0.16963804,0.0,5.70256687,396.38021363
2006-09-30,414.1471761799999,0.0,0.0,0.52733625,0.52335283,0.0,4.87509069,420.07295594999994
2006-12-31,402.00443329999996,0.0,0.0,0.5275443599999999,0.3346603,0.0,5.713287599999999,408.57992555999994
2007-03-31,421.5239552399999,0.0,0.0,0.58030686,0.33099196000000003,0.0,4.68339134,427.11864539999993
2007-06-30,406.36441265999997,0.0,0.0,0.27014673,0.7690467200000001,0.0,5.94164662,413.34525272999997
2007-09-30,455.54181275999997,0.0,0.0,0.4051131,1.0493535,0.0,4.593028200000001,461.58930755999995
2007-12-31,389.11497081999994,0.0,0.0,0.6836461800000001,0.9469998200000002,0.0,5.380124090000001,396.1257409099999
2008-03-31,430.6248724199999,0.0,0.0,0.89476254,0.76663106,0.0,4.91178136,437.19804737999993
2008-06-30,434.90618382,0.0,0.0,0.38025918,0.80124473,0.0,5.9410694,442.02875713000003
2008-09-30,437.8990449799999,0.0,0.0,0.22918497,0.94125148,0.0,5.802694390000001,444.87217581999994
2008-12-31,430.82927384,0.0,0.0,0.26700303000000003,0.61117199,0.0,4.91742398,436.62487284
2009-03-31,383.91279312,0.0,0.0,0.8241533999999999,0.8091813600000001,0.0,6.59207467,392.13820255
2009-06-30,403.12081476,0.0,0.0,0.5234955600000001,0.5496108799999999,0.0,6.8600135600000005,411.05393476
2009-09-30,423.57406970000005,0.0,0.0,0.38940804,1.24533435,0.0,6.606181220000001,431.81499331000003
2009-12-31,433.46100656,0.0,0.0,0.62856444,0.66442441,0.0,5.77866877,440.53266418
2010-03-31,416.49830665999997,0.0,0.0,0.33937259999999997,0.6646705,0.0,5.30838947,422.81073922999997
2010-06-30,380.26884764,0.0,0.0,0.3939495,0.97259695,0.0,7.04558576,388.68097985
2010-09-30,420.11066254,0.0,0.0,0.31552143,1.16154285,0.0,7.3896256199999995,428.97735244
2010-12-31,439.39382384,0.0,0.0,0.43003989000000004,0.5957498299999999,0.0,6.5430918799999995,446.96270544
2011-03-31,410.39498188000005,0.0,0.0,0.24512124,0.7267252200000001,0.0,6.68703077,418.05385911
2011-06-30,446.48881806,0.0,0.0,0.72899526,0.87724988,0.0,7.523094260000001,455.61815746
2011-09-30,378.10174101999996,0.0,0.0,0.11989382999999999,1.23974929,0.0,7.108429269999999,386.56981341
2011-12-31,326.23236026,0.0,0.0,0.86194521,1.5868314799999998,0.0,6.661304489999999,335.34244144
2012-03-31,400.80700488,0.0,0.0,0.70650279,0.9637854199999999,0.0,6.03927182,408.51656491000006
2012-06-30,392.98912834,0.0,0.0,0.7671646499999999,1.3194409799999998,0.0,6.99514101,402.07087498
2012-09-30,397.80502222,0.0,0.0,0.54068721,1.50019571,0.0,7.7168027200000004,407.56270786
2012-12-31,418.82670316,0.0,0.0,0.39184634999999995,1.13361989,0.0,7.294754770000001,427.64692417
