date,coal,natural_gas,nuclear,hydro,wind,solar_all,other,all_sources
2001-03-31,917.430152,18218.205949,92.02043499999999,97.542501,7.552883,0.0,137.35014999999999,19470.102069999997
2001-06-30,1061.814314,18068.974811,92.13613500000001,172.10709599999998,15.713021999999999,0.0,131.464025,19542.209403
2001-09-30,1088.487076,20154.2945915,126.599239,164.639622,14.845376,0.0,143.109082,21691.974986499998
2001-12-31,912.2867039999999,15097.369630500001,121.09795100000001,102.088035,7.385313,0.0,139.627038,16379.854671500003
2002-03-31,1062.085294,13129.502934,121.45547699999999,144.66746700000002,7.174505,0.0,150.058507,14614.944184
2002-06-30,993.034194,12548.560720999998,97.639217,204.87919200000002,18.783309999999997,0.0,144.39945699999998,14007.296090999998
2002-09-30,1078.198676,18527.842588500003,123.68705699999998,183.771693,15.789332,0.0,155.837496,20085.1268425
2002-12-31,1051.5113880000001,13441.734554,103.79866899999999,120.63483599999999,7.687238000000001,0.0,152.59480299999998,14877.961488
2003-03-31,1002.56359,12436.5399265,89.353212,164.909346,8.163518999999999,0.0,149.94522152999997,13851.47481503
2003-06-30,884.9290560000001,10917.9334695,119.43239100000001,242.265009,18.546281,0.0,143.42503399999998,12326.531240500002
2003-09-30,1099.921982,18149.297053,127.490675,217.367283,15.182179999999999,0.0,155.336288,19764.595460999997
2003-12-31,1051.674356,13602.447733,126.442979,139.243125,8.748610000000001,0.0,152.61827,15081.175073000002
2004-03-31,1104.43040174,13174.491364380001,98.88884200000001,185.08508150999998,8.06025181,0.0,152.54799982,14723.503941260004
2004-06-30,885.05333568,13328.894162515,95.22967999999999,211.52597823,22.30485153,0.0,146.73070288,14689.738710835001
2004-09-30,1094.8968067399999,18281.88624931,124.135778,191.70463178999998,18.69873083,0.0,154.24529198000002,19865.56748865
2004-12-31,1015.1793205399998,14876.78199326,75.228231,128.64382356,6.91254434,0.0,151.67973012,16254.425642819999
2005-03-31,909.3671718799999,11547.422105594998,111.158333,166.34973012,8.5693387,0.0,144.0264588,12886.893138094998
2005-06-30,958.62622354,11300.80257136,122.607277,275.31026837999997,20.332743599999997,0.0,149.41942805000002,12827.098511929998
2005-09-30,1001.3497245199999,17920.474175265,125.490833,229.33850561999998,16.71476716,0.0,153.41692331,19446.784928875
2005-12-31,1013.30494888,13136.00352337,110.757231,161.27069385000001,9.7921278,0.0,150.65639284,14581.784917739998
2006-03-31,978.33652688,11866.210472339999,93.424214,275.09583779999997,11.497678399999998,0.0,146.14664304,13370.711372459999
2006-06-30,929.4148264199999,12975.001379869998,90.118171,346.24998282,20.837609389999997,0.0,136.80983364,14498.431803139998
2006-09-30,1092.77490032,19587.618165829997,129.40759,237.16326438000002,18.7213533,0.0,154.24787831,21219.933152139998
