date,coal,natural_gas,nuclear,hydro,wind,solar_all,other,all_sources
2001-03-31,7210.252298,718.179401,0.0,1.258257,0.0,0.0,0.144367,7929.834323000001
2001-06-30,6858.377782,1004.7240865,0.0,1.5733199999999998,0.0,0.0,0.135873,7864.8110615000005
2001-09-30,7392.0133319999995,1017.3571350000001,0.0,1.3709010000000001,0.0,0.0,0.150567,8410.891935
2001-12-31,7239.182653999999,602.3934184999999,0.0,0.781263,0.0,0.0,0.147405,7842.504740499999
2002-03-31,6373.778049999999,493.809995,0.0,1.268862,0.0,0.0,0.11070100000000001,6868.967607999998
2002-06-30,7249.946363999999,633.003382,0.0,1.754382,0.0,0.0,0.11637399999999999,7884.820502
2002-09-30,6893.2575099999995,799.0864644999999,0.0,1.521198,0.0,0.0,0.087234,7693.9524065
2002-12-31,6917.44133,501.416463,0.0,1.0119690000000001,0.0,0.0,0.287339,7420.157101
2003-03-31,7108.005912,488.56010849999996,0.0,0.7904820000000001,0.0,0.0,0.0,7597.3565025
2003-06-30,7618.961649999998,580.9475015,0.0,1.074066,0.0,0.0,0.0,8200.983217499997
2003-09-30,7732.392392,834.5193160000001,0.0,1.020915,0.556972,0.0,0.0,8568.489595
2003-12-31,7047.025605999999,503.630877,0.0,0.6992160000000001,1.8185829999999998,0.0,0.0,7553.174281999999
2004-03-31,6686.3615890599995,474.23664905500004,0.0,0.7294719599999999,1.8712849999999999,0.0,0.0,7163.198995075
2004-06-30,7301.86789282,554.165756335,0.0,0.7294719599999999,1.938456,0.0,0.0,7858.701577115
2004-09-30,8085.2468051,646.8511905299999,0.0,0.7294719599999999,1.28414,0.0,0.0,8734.111607589999
2004-12-31,7803.043632739999,437.936587165,0.0,0.7294719599999999,1.581164,0.0,0.0,8243.290855864998
2005-03-31,7576.777705779999,517.900323105,0.0,0.82585776,2.45609949,0.0,0.03626318,8097.996249315
2005-06-30,7303.45315952,752.9929461349999,0.0,1.02242448,2.88719912,0.0,0.03590885,8060.391638105
2005-09-30,8034.338954700001,978.335634305,0.0,0.8345473499999999,2.2476368200000003,0.0,0.03738445,9015.794157625001
2005-12-31,7792.320514319999,601.311354825,0.0,0.78202341,2.73925457,0.0,0.03450734,8397.187654465
2006-03-31,7461.166299299999,485.14516337500004,0.0,1.06901907,5.011357,0.0,0.18928941,7952.5811281549995
2006-06-30,7177.992789959999,921.2892902799999,0.0,1.37809035,4.360342999999999,0.0,0.15147839999999999,8105.171991989999
2006-09-30,8260.655685059999,1152.8342478850002,0.0,0.9514606500000001,2.92136,0.0,0.15589124999999998,9417.518644845
2006-12-31,7641.8621204,883.6164674849999,0.0,0.7638611399999999,4.027608,0.0,0.18176571000000002,8530.451822735
2007-03-31,7100.4680049,727.206429945,0.0,1.2693807,4.1439319999999995,0.0,0.11270825,7833.2004557949995
2007-06-30,6579.1496720800005,844.353981605,0.0,1.83444387,4.463303,0.0,0.12895101000000003,7429.930351565
2007-09-30,7878.797316799999,1308.322521415,0.0,1.52252814,3.889808,0.0,0.11984661999999999,9192.652020975
2007-12-31,7026.541680099999,936.718901495,0.0,1.0011855,5.615064,0.0,0.13430657,7970.011137664999
2008-03-31,5491.25234452,928.357064495,0.0,1.29927105,6.359652,0.0,0.16294871,6427.431280775
2008-06-30,6643.04090046,1137.767469385,0.0,2.13338706,5.948865,0.0,0.17442553,7789.0650474349995
2008-09-30,7743.476006880001,1172.961379675,0.0,1.89342972,3.4869380000000003,0.0,0.171709,8921.989463275
2008-12-31,7610.6320288,1161.186859355,0.0,1.2319605900000001,5.560776,0.0,0.17085836000000001,8778.782483104998
2009-03-31,6719.26000574,1103.87269368,0.0,1.21644117,5.908346729999999,0.0,0.24854064000000003,7830.50602796
2009-06-30,7450.421126159999,1040.3348057649998,0.0,1.8724841099999998,4.46607109,0.0,0.26273275,8497.357219874999
2009-09-30,7789.82001768,1358.25087693,0.0,1.45993575,4.06172078,0.0,0.2694954,9153.86204654
2009-12-31,7659.6505573,973.6299855350001,0.0,1.14136197,5.67119527,0.0,0.26281520999999997,8640.355915285001
2010-03-31,5322.20793712,1101.295081285,0.0,0.8877380400000001,5.43093356,0.0,0.10034173,6429.922031734999
2010-06-30,6212.462924519999,1028.91376463,0.0,1.3807787699999998,6.907428840000001,0.0,0.10681081,7249.771707569999
2010-09-30,7246.23032082,1382.124807335,0.0,1.3389570600000003,4.658582109999999,0.0,0.10857750000000001,8634.461244824999
2010-12-31,7115.0788976799995,975.33366206,0.0,0.9497363400000001,6.82142175,0.0,0.10833849000000001,8098.29205632
2011-03-31,6883.09722226,1000.8486283550001,0.0,0.94583475,7.52477258,0.0,0.06869476000000001,7892.4851527050005
2011-06-30,6539.23230198,1062.493973115,0.0,1.25239149,8.920606110000001,0.0,0.07177523,7611.971047925
2011-09-30,7652.9092812,1494.139717755,0.0,1.17163662,4.1928418999999995,0.0,0.07545864999999999,9152.488936125
2011-12-31,6547.7108483599995,1107.30599832,0.0,0.7202231400000001,6.72024028,0.0,0.076291,7662.5336011
2012-03-31,6125.30306178,1048.0976389349998,0.0,1.0135003200000001,8.61972254,0.0,0.10729131,7183.1412148849995
2012-06-30,5614.5086717799995,1236.9350477099997,0.0,1.5762631499999997,7.472499190000001,0.0,0.10973938,6860.60222121
2012-09-30,7265.053647459999,1484.137393685,0.0,1.2329709,4.86549063,0.0,0.11161178,8755.401114454999
2012-12-31,6503.9349817,961.597927545,0.0,0.8564646300000001,7.977531770000001,0.0,0.11361345,7474.480519095
2013-03-31,6690.2399657999995,952.7744458600001,0.0,0.41298831,8.263815300000001,0.0,0.14219545,7651.83341072
2013-06-30,5826.81162972,1248.757611455,0.0,0.66010728,8.0573298,0.0,0.14663712999999998,7084.433315385001
2013-09-30,6361.707442139999,1512.7699371949998,0.0,0.49830963,4.86846321,0.0,0.15124528,7879.995397455
2013-12-31,5920.147895699999,1066.19207788,0.0,0.35719257000000004,7.32486469,0.0,0.15832102999999997,6994.180351869999
2014-03-31,4997.86892376,1090.6165255800001,0.0,0.43628907000000006,9.10123279,3.3401853900000003,0.1867595,6101.549916090001
2014-06-30,5078.137515739999,1295.4234852000002,0.0,0.6897809100000001,8.567222300000001,7.11703535,0.18089615999999997,6390.115935659999
2014-09-30,5601.20243046,1447.2176079350002,0.0,0.5395527900000001,4.7031842,9.36033503,0.17800913,7063.2011195449995
