date,coal,natural_gas,nuclear,hydro,wind,solar_all,other,all_sources,state
2001-03-31,495130.700312,82655.487225,2497.562548,1192.844646,17.583956,0.0,574.184666,582068.363353,United States
2001-06-30,468749.859256,100607.428097,2412.001397,1216.241439,25.861654,0.0,565.754402,573577.1462450001,United States
2001-09-30,536632.530036,135266.28646550002,2612.141831,1097.2271939999998,22.131551,0.0,602.54049,676232.8575675001,United States
2001-12-31,465925.424408,94811.3496015,2473.036228,1049.868666,22.008142,0.0,594.7623420000001,564876.4493874998,United States
2002-03-31,469195.692626,89936.38705650001,2543.1221920000003,1322.9039879999998,30.906668,0.0,597.481941,563626.4944715,United States
2002-06-30,471318.39759,103158.80333650002,2441.93495,1661.5650869999995,41.968849,0.0,624.5280769999999,579247.1978895002,United States
2002-09-30,545623.4871559999,144981.1615395,2673.830965,1336.4684130000005,33.83866200000001,0.0,680.1882049999999,695328.9749404999,United States
2002-12-31,498464.559616,89987.7137855,2481.945024,1229.967963,27.891435,0.0,631.337909,592823.4157324999,United States
2003-03-31,502118.34875,85138.08704,2471.120782,1356.226452,31.379647,0.0,610.5593415300001,591725.7220125298,United States
2003-06-30,466145.797384,91118.6126965,2381.0576140000003,1737.550878,40.901809,0.0,608.3236330000001,562032.2440145001,United States
2003-09-30,547379.672254,129757.5240495,2629.383601,1392.20718,34.630427,0.0,671.7071320000001,681865.1246435,United States
2003-12-31,504554.4987579999,85296.33929999999,2446.9630380000003,1305.948378,38.525162,0.0,645.514674,594287.7893099999,United States
2004-03-31,508579.93648772,88190.23001271501,2576.511925,1403.0352802199998,43.05909634,0.0,630.3919502,601423.1647521949,United States
2004-06-30,480184.24583832,105150.69318382,2486.53262,1473.3607971600002,57.11828226000001,0.0,629.00904051,589980.95976207,United States
2004-09-30,540606.56997486,130587.07845278,2716.68254,1374.14567472,42.96115421,0.0,653.59708917,675981.03488574,United States
2004-12-31,505952.95363596,93651.62955451,2471.141946,1386.22172367,40.73009707000001,0.0,647.0076222199999,604149.68457943,United States
